#  L TT            EE            BB            TE            PP            PT            PE           
 120 3.3561396e+03 1.0265471e+00 4.6693533e-03 -3.5825330e+01 8.9788942e-08 2.9367184e-04 -9.9640036e-07
 121 3.3904127e+03 1.0356640e+00 4.7500860e-03 -3.6390642e+01 8.9241967e-08 2.9057817e-04 -1.0163304e-06
 122 3.4247560e+03 1.0443737e+00 4.8316455e-03 -3.6945331e+01 8.8699080e-08 2.8753259e-04 -1.0370351e-06
 123 3.4591689e+03 1.0526686e+00 4.9140384e-03 -3.7488793e+01 8.8160244e-08 2.8453520e-04 -1.0581665e-06
 124 3.4936432e+03 1.0605339e+00 4.9972706e-03 -3.8020422e+01 8.7625495e-08 2.8158623e-04 -1.0793770e-06
 125 3.5281633e+03 1.0679694e+00 5.0813488e-03 -3.8539763e+01 8.7094805e-08 2.7868595e-04 -1.1003192e-06
 126 3.5627286e+03 1.0749601e+00 5.1662790e-03 -3.9046285e+01 8.6568171e-08 2.7583445e-04 -1.1206454e-06
 127 3.5973236e+03 1.0815059e+00 5.2520676e-03 -3.9539383e+01 8.6045626e-08 2.7303206e-04 -1.1400086e-06
 128 3.6319400e+03 1.0875920e+00 5.3387209e-03 -4.0018602e+01 8.5527146e-08 2.7027892e-04 -1.1580616e-06
 129 3.6665772e+03 1.0932180e+00 5.4262453e-03 -4.0483410e+01 8.5012736e-08 2.6757526e-04 -1.1744573e-06
 130 3.7012197e+03 1.0983693e+00 5.5146468e-03 -4.0933206e+01 8.4502399e-08 2.6492130e-04 -1.1888488e-06
 131 3.7358522e+03 1.1030456e+00 5.6039319e-03 -4.1367535e+01 8.3996128e-08 2.6231694e-04 -1.2009640e-06
 132 3.7704825e+03 1.1072471e+00 5.6941064e-03 -4.1785887e+01 8.3493901e-08 2.5976095e-04 -1.2108298e-06
 133 3.8050891e+03 1.1109594e+00 5.7851768e-03 -4.2187829e+01 8.2995691e-08 2.5725185e-04 -1.2185482e-06
 134 3.8396728e+03 1.1141975e+00 5.8771489e-03 -4.2572779e+01 8.2501485e-08 2.5478809e-04 -1.2242205e-06
 135 3.8742193e+03 1.1169395e+00 5.9700289e-03 -4.2940454e+01 8.2011216e-08 2.5236809e-04 -1.2279480e-06
 136 3.9087295e+03 1.1191929e+00 6.0638225e-03 -4.3290198e+01 8.1524889e-08 2.4999041e-04 -1.2298327e-06
 137 3.9431891e+03 1.1209507e+00 6.1585358e-03 -4.3621578e+01 8.1042459e-08 2.4765353e-04 -1.2299760e-06
 138 3.9775915e+03 1.1222206e+00 6.2541743e-03 -4.3934237e+01 8.0563891e-08 2.4535586e-04 -1.2284790e-06
 139 4.0119226e+03 1.1229955e+00 6.3507439e-03 -4.4227740e+01 8.0089189e-08 2.4309599e-04 -1.2254435e-06
 140 4.0461904e+03 1.1232755e+00 6.4482498e-03 -4.4501657e+01 7.9618299e-08 2.4087230e-04 -1.2209704e-06
 141 4.0803736e+03 1.1230759e+00 6.5466977e-03 -4.4755628e+01 7.9151197e-08 2.3868332e-04 -1.2151611e-06
 142 4.1144652e+03 1.1223820e+00 6.6460928e-03 -4.4989148e+01 7.8687857e-08 2.3652753e-04 -1.2081171e-06
 143 4.1484662e+03 1.1212016e+00 6.7464403e-03 -4.5201933e+01 7.8228255e-08 2.3440347e-04 -1.1999395e-06
 144 4.1823548e+03 1.1195424e+00 6.8477452e-03 -4.5393550e+01 7.7772356e-08 2.3230952e-04 -1.1907292e-06
 145 4.2161320e+03 1.1173972e+00 6.9500124e-03 -4.5563494e+01 7.7320137e-08 2.3024423e-04 -1.1805876e-06
 146 4.2497687e+03 1.1147812e+00 7.0532465e-03 -4.5711555e+01 7.6871591e-08 2.2820614e-04 -1.1696161e-06
 147 4.2832583e+03 1.1117020e+00 7.1574523e-03 -4.5837153e+01 7.6426657e-08 2.2619369e-04 -1.1579154e-06
 148 4.3165867e+03 1.1081600e+00 7.2626338e-03 -4.5940007e+01 7.5985346e-08 2.2420538e-04 -1.1455867e-06
 149 4.3497398e+03 1.1041628e+00 7.3687956e-03 -4.6019683e+01 7.5547590e-08 2.2223968e-04 -1.1327308e-06
 150 4.3827035e+03 1.0997182e+00 7.4759414e-03 -4.6075751e+01 7.5113399e-08 2.2029514e-04 -1.1194491e-06
 151 4.4154562e+03 1.0948339e+00 7.5840753e-03 -4.6107926e+01 7.4682733e-08 2.1837043e-04 -1.1058290e-06
 152 4.4480050e+03 1.0895173e+00 7.6932006e-03 -4.6115910e+01 7.4255551e-08 2.1646521e-04 -1.0919050e-06
 153 4.4803345e+03 1.0837833e+00 7.8033209e-03 -4.6099405e+01 7.3831867e-08 2.1457943e-04 -1.0776989e-06
 154 4.5124443e+03 1.0776468e+00 7.9144392e-03 -4.6058259e+01 7.3411614e-08 2.1271290e-04 -1.0632315e-06
